,Name,Affiliation,Incumbent,Winner,Vote %,Cash Raised,Cash Spent,State,District Number
85,Julia Brownley,D,1,1,60.6,1976695.0,1314677.0,CA,26
86,Ronda Kennedy,R,0,0,39.4,246226.0,67208.0,CA,26
87,Judy Chu,D,1,1,69.8,1213706.0,956298.0,CA,27
88,Johnny Nalbandian,R,0,0,30.2,39584.0,39159.0,CA,27
89,Adam Schiff,D,1,1,72.7,19382855.0,10188664.0,CA,28
90,Eric Early,R,0,0,27.3,4085322.0,3790027.0,CA,28
91,Tony Cardenas,D,1,1,56.6,1419697.0,1213588.0,CA,29
92,Angelica Duenas,3,0,0,43.4,78083.0,76627.0,CA,29
93,Brad Sherman,D,1,1,69.5,1513374.0,1111826.0,CA,30
94,Pete Aguilar,D,1,1,61.3,2475748.0,1861434.0,CA,31
95,Agnes Gibboney,R,0,0,38.7,138687.0,127907.0,CA,31
96,Grace Napolitano,D,1,1,66.6,478426.0,251047.0,CA,32
97,Joshua Scott,R,0,0,33.4,23624.0,14248.0,CA,32
98,Ted Lieu,D,1,1,67.6,1661436.0,1582573.0,CA,33
99,James Bradley,R,0,0,32.4,78910.0,79035.0,CA,33
100,Jimmy Gomez,D,1,1,53.0,1401166.0,1268312.0,CA,34
101,David Kim,D,0,0,47.0,193430.0,80381.0,CA,34
102,Norma Torres,D,1,1,69.3,654727.0,664600.0,CA,35
103,Mike Cargile,R,0,0,30.7,36113.0,35915.0,CA,35
104,Raul Ruiz,D,1,1,60.3,2402624.0,1732443.0,CA,36
105,Erin Cruz,R,0,0,39.7,54217.0,53840.0,CA,36
106,Karen Bass,D,1,1,85.9,2216467.0,1202942.0,CA,37
107,Errol Webber,R,0,0,14.1,66398.0,174076.0,CA,37
108,Linda Sanchez,D,1,1,74.3,1246008.0,1140165.0,CA,38
109,Gil Cisneros,D,1,0,49.4,4370133.0,4350464.0,CA,39
110,Young Kim,R,0,1,50.6,6424556.0,6021651.0,CA,39
111,Lucille RoybalAllard,D,1,1,72.7,739790.0,741379.0,CA,40
112,Antonio Delgado,R,0,0,27.3,85014.0,79270.0,CA,40
113,Mark Takano,D,1,1,64.0,1020456.0,949494.0,CA,41
114,Aja Smith,R,0,0,36.0,660658.0,659909.0,CA,41
115,Ken Calvert,R,1,1,57.1,1441812.0,1549113.0,CA,42
116,Liam O'Mara,D,0,0,42.9,130065.0,128782.0,CA,42
117,Maxine Waters,D,1,1,71.7,1836660.0,1906957.0,CA,43
118,Joe Collins,R,0,0,28.3,10556626.0,9921103.0,CA,43
119,Nanette Barragan,D,1,1,67.8,1173909.0,714023.0,CA,44
120,Katie Porter,D,1,1,53.5,16627706.0,6443700.0,CA,45
121,Greg Raths,R,0,0,46.5,1245767.0,1241713.0,CA,45
122,Lou Correa,D,1,1,68.8,1192715.0,650707.0,CA,46
123,Alan Lowenthal,D,1,1,63.3,678648.0,854902.0,CA,47
124,John Briscoe,R,0,0,36.7,25302.0,21538.0,CA,47
125,Harley Rouda,D,1,0,48.9,5968858.0,6174443.0,CA,48
126,Michelle Steel,R,0,1,51.1,6305665.0,6148591.0,CA,48
127,Mike Levin,D,1,1,53.1,3845768.0,2901566.0,CA,49
128,Brian Maryott,R,0,0,46.9,2810253.0,2808217.0,CA,49
129,Darrell Issa,R,0,1,54.0,11239670.0,10947106.0,CA,50
130,Ammar Campa-Najjar,D,0,0,46.0,6248210.0,6247762.0,CA,50
131,Juan Vargas,D,1,1,68.3,799734.0,801671.0,CA,51
132,Juan Hidalgo,R,0,0,31.7,83730.0,81182.0,CA,51
133,Scott Peters,D,1,1,61.6,1911791.0,2131849.0,CA,52
134,James Debello,R,0,0,38.4,233464.0,224630.0,CA,52
135,Sara Jacobs,D,0,1,59.5,7678363.0,7586186.0,CA,53
136,Georgette Gomez,D,0,0,40.5,1691794.0,1663252.0,CA,53
137,Diana DeGette,D,1,1,73.7,1201026.0,1077130.0,CO,01
138,Joseph Neguse,D,1,1,61.5,1353325.0,674602.0,CO,02
139,Charles Winn,R,0,0,35.4,98338.0,98338.0,CO,02
140,Alex Johnson,I,0,0,,4782.0,4093.0,CO,02
141,Diane Mitsch Bush,D,0,0,45.2,5008274.0,4984238.0,CO,03
142,Lauren Boebert,R,0,1,51.4,2989510.0,2632716.0,CO,03
143,Chris Milton,3,0,0,1.0,12012.0,12012.0,CO,03
144,Ken Buck,R,1,1,60.1,478984.0,539393.0,CO,04
145,Ike McCorkle,D,0,0,36.1,369871.0,217398.0,CO,04
146,Doug Lamborn,R,1,1,57.6,540712.0,329011.0,CO,05
147,Jillian Freeland,D,0,0,37.4,185255.0,175548.0,CO,05
148,Rebecca Keltie,3,0,0,0.8,2552.0,1495.0,CO,05
